"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Jul-2023"
"DELHIVERY","397.45","397.80","389.05","395.55","393.95","-1.60","-0.40","17,71,791","69.57","488.00","354.20","2.61","0.50"
"CCL","595.40","596.55","585.20","588.80","586.40","-2.40","-0.41","69,328","4.09","749.50","551.60","-2.32","-16.54"
"TANLA","956.70","962.45","944.55","951.90","948.00","-3.90","-0.41","2,83,606","27.01","1,317.95","782.05","4.53","-7.11"
"APARINDS","8,954.00","8,962.85","8,708.00","8,861.55","8,823.00","-38.55","-0.44","84,851","74.81","8,962.85","3,303.25","9.95","154.47"
"APOLLOHOSP","6,380.00","6,387.95","6,292.80","6,328.55","6,300.75","-27.80","-0.44","3,17,731","200.85","6,874.45","4,726.00","5.22","22.97"
"TRENT","5,661.20","5,665.00","5,572.00","5,619.90","5,595.00","-24.90","-0.44","2,73,130","153.28","5,665.00","1,657.45","13.20","230.03"
"RAINBOW","1,294.65","1,300.60","1,265.25","1,298.35","1,292.55","-5.80","-0.45","85,402","10.92","1,649.00","958.00","-0.76","28.39"
"NTPC","380.85","381.25","376.15","379.80","378.10","-1.70","-0.45","88,98,299","336.64","393.20","184.75","5.32","97.20"
"CENTRALBK","62.18","62.45","61.60","62.18","61.90","-0.28","-0.45","49,87,770","30.88","76.90","29.60","-4.04","101.23"
"AMBUJACEM","686.45","688.55","679.20","686.00","682.80","-3.20","-0.47","20,99,399","143.25","706.95","404.05","10.41","64.15"
"MINDACORP","493.60","493.60","481.50","492.40","490.00","-2.40","-0.49","1,96,910","9.58","510.00","280.00","8.42","67.28"
"JBCHEPHARM","1,759.00","1,765.00","1,734.00","1,742.55","1,734.05","-8.50","-0.49","71,258","12.42","1,940.00","1,137.50","-3.17","-24.08"
"MARUTI","12,104.00","12,112.00","11,966.00","12,104.05","12,045.00","-59.05","-0.49","4,96,933","597.49","13,073.95","9,254.15","-5.52","22.88"
"GRASIM","2,751.70","2,754.95","2,713.85","2,748.00","2,734.40","-13.60","-0.49","3,33,988","91.28","2,762.70","1,733.25","15.47","57.63"
"TRIDENT","38.39","38.45","37.90","38.19","38.00","-0.19","-0.50","74,02,639","28.17","52.90","31.60","3.08","13.49"
"TIMKEN","4,334.95","4,534.95","4,281.00","4,335.35","4,313.00","-22.35","-0.52","2,31,057","102.14","4,817.90","2,524.50","4.64","30.65"
"SBILIFE","1,529.40","1,531.95","1,508.25","1,529.40","1,521.50","-7.90","-0.52","7,74,723","117.51","1,569.40","1,251.65","7.26","18.19"
"ECLERX","2,501.65","2,519.75","2,462.70","2,501.65","2,488.70","-12.95","-0.52","1,20,345","30.01","2,828.00","1,582.00","7.89","47.81"
"GPPL","224.00","228.45","221.40","224.17","223.00","-1.17","-0.52","34,67,659","77.82","238.00","115.55","17.34","90.06"
"CGCL","213.40","213.40","207.80","211.93","210.82","-1.11","-0.52","2,88,239","6.06","289.25","183.03","-1.50","-72.89"
"PVRINOX","1,470.00","1,477.90","1,447.50","1,467.85","1,460.00","-7.85","-0.53","2,13,783","31.19","1,875.45","1,204.20","9.68","1.94"
"SUNDRMFAST","1,409.35","1,425.95","1,391.60","1,407.60","1,400.00","-7.60","-0.54","1,08,706","15.35","1,436.35","1,003.05","12.25","12.20"
"HOMEFIRST","1,056.00","1,086.95","1,040.10","1,055.70","1,050.00","-5.70","-0.54","1,79,096","18.95","1,195.00","771.00","23.57","34.74"
"LEMONTREE","148.14","151.04","146.56","148.15","147.35","-0.80","-0.54","22,03,340","32.79","158.00","89.90","4.22","61.82"
"GLAXO","2,538.80","2,559.90","2,502.80","2,538.80","2,525.00","-13.80","-0.54","58,773","14.86","2,760.00","1,377.25","1.25","81.28"
"BAJFINANCE","7,144.95","7,147.65","7,047.00","7,138.00","7,099.00","-39.00","-0.55","6,77,705","480.29","8,192.00","6,187.80","-0.74","-6.35"
"IOC","172.21","172.81","169.75","171.28","170.34","-0.94","-0.55","3,03,22,381","518.82","196.80","85.50","4.31","72.66"
"PEL","935.20","936.85","920.50","935.20","930.00","-5.20","-0.56","6,58,129","61.05","1,139.95","736.60","14.32","0.92"
"CHALET","861.15","870.00","841.65","849.75","845.00","-4.75","-0.56","47,827","4.07","958.00","437.00","3.46","88.90"
"ALLCARGO","64.50","64.79","63.54","64.46","64.09","-0.37","-0.57","27,56,594","17.67","98.00","59.30","-2.04","-77.49"
"SUZLON","55.95","56.00","54.50","55.49","55.17","-0.32","-0.58","5,45,88,551","302.91","56.49","16.65","-","210.87"
"SONATSOFTW","638.30","645.55","617.00","636.25","632.55","-3.70","-0.58","5,99,583","37.66","870.00","469.60","8.57","-36.48"
"RAJESHEXPO","288.65","289.70","284.00","287.10","285.40","-1.70","-0.59","2,11,572","6.04","560.00","261.00","2.70","-45.49"
"HAPPSTMNDS","833.80","833.80","820.00","826.65","821.75","-4.90","-0.59","5,50,059","45.26","1,020.00","741.00","-1.77","-15.75"
"CDSL","2,340.00","2,345.95","2,302.05","2,322.95","2,309.00","-13.95","-0.60","8,85,793","205.05","2,538.65","1,107.35","11.58","97.09"
"IRB","67.90","68.60","67.00","67.56","67.15","-0.41","-0.61","3,10,09,845","209.63","78.15","24.95","-12.09","155.91"
"NYKAA","177.90","182.10","176.00","177.20","176.10","-1.10","-0.62","90,35,015","161.23","195.50","130.10","4.30","25.67"
"ICICIPRULI","641.60","643.65","628.60","643.00","639.00","-4.00","-0.62","14,26,044","90.74","644.85","463.45","12.53","12.16"
"TATATECH","1,014.85","1,015.75","1,003.00","1,010.35","1,004.00","-6.35","-0.63","4,59,742","46.25","1,400.00","982.25","-4.81","-"
"DATAPATTNS","3,438.00","3,525.00","3,305.00","3,390.40","3,368.80","-21.60","-0.64","9,32,704","319.14","3,655.00","1,735.00","28.75","78.66"
"MPHASIS","2,635.00","2,652.00","2,589.85","2,628.90","2,611.50","-17.40","-0.66","10,79,731","282.17","2,837.60","1,850.00","6.35","40.02"
"RAYMOND","3,290.25","3,496.00","3,185.00","3,229.50","3,208.00","-21.50","-0.67","19,45,761","648.85","3,496.00","1,487.60","30.66","84.79"
"ATGL","894.05","899.00","882.00","891.05","885.00","-6.05","-0.68","7,65,392","67.87","1,259.40","522.00","-8.90","38.52"
"UPL","572.70","574.80","562.15","572.70","568.80","-3.90","-0.68","26,95,359","152.75","676.00","447.80","6.10","-13.62"
"JAIBALAJI","925.00","949.00","901.00","920.55","914.00","-6.55","-0.71","40,822","3.79","1,314.00","75.60","4.10","1,050.69"
"HDFCBANK","1,645.30","1,654.95","1,627.15","1,648.10","1,636.35","-11.75","-0.71","1,95,43,900","3,205.32","1,794.00","1,363.55","4.75","-0.74"
"HEROMOTOCO","5,565.65","5,630.00","5,487.55","5,558.05","5,518.00","-40.05","-0.72","4,78,557","265.32","5,894.55","2,890.00","-0.43","76.55"
"GPIL","1,108.05","1,129.00","1,086.10","1,108.05","1,100.00","-8.05","-0.73","1,55,790","17.22","1,174.50","507.55","13.63","116.20"
"WELCORP","618.50","630.00","605.55","616.40","611.90","-4.50","-0.73","15,75,119","96.94","631.90","283.05","15.18","111.97"
"IDBI","85.00","85.45","84.01","84.82","84.20","-0.62","-0.73","44,45,684","37.68","98.70","56.55","-0.85","47.64"
"CELLO","965.00","972.85","950.05","969.40","962.30","-7.10","-0.73","2,40,882","23.11","1,025.00","711.20","14.53","-"
"BAJAJFINSV","1,579.60","1,579.60","1,562.00","1,579.60","1,568.00","-11.60","-0.73","10,00,005","156.91","1,741.00","1,419.05","0.76","-2.19"
"MCX","3,998.90","4,000.00","3,900.30","3,984.30","3,955.00","-29.30","-0.74","2,57,252","101.52","4,270.00","1,512.00","9.71","149.54"
"GMMPFAUDLR","1,409.00","1,410.50","1,387.70","1,410.55","1,400.00","-10.55","-0.75","86,338","12.07","1,897.95","1,143.10","10.68","-4.82"
"BERGEPAINT","514.40","517.40","507.45","514.40","510.55","-3.85","-0.75","10,57,824","54.23","679.75","439.00","6.60","-23.55"
"MAHABANK","63.81","64.00","63.05","63.77","63.28","-0.49","-0.77","87,02,792","55.18","73.50","29.85","-4.32","99.28"
"NMDC","253.19","253.40","249.50","252.28","250.31","-1.97","-0.78","88,98,452","223.58","286.35","106.40","-2.41","136.00"
"APLLTD","998.00","1,006.00","977.40","989.05","981.30","-7.75","-0.78","2,07,930","20.63","1,094.00","641.25","7.97","50.56"
"COCHINSHIP","2,849.95","2,979.45","2,750.00","2,837.60","2,815.00","-22.60","-0.80","83,55,098","2,412.27","2,979.45","280.33","48.35","389.58"
"STARHEALTH","587.95","589.95","571.70","585.40","580.60","-4.80","-0.82","11,20,782","64.94","675.00","454.80","17.17","-2.87"
"JUBLINGREA","536.35","544.40","527.40","536.35","531.90","-4.45","-0.83","1,68,838","9.00","581.70","399.00","6.99","31.14"
"CASTROLIND","254.02","258.00","249.46","254.02","251.90","-2.12","-0.83","85,28,643","216.29","260.00","124.30","30.30","98.38"
"MEDANTA","1,255.00","1,292.20","1,254.00","1,266.75","1,256.15","-10.60","-0.84","3,55,268","45.09","1,513.90","655.65","3.21","83.37"
"LLOYDSME","760.00","770.00","745.10","763.35","756.90","-6.45","-0.84","5,75,114","43.62","786.00","492.00","8.06","-"
"BSE","2,410.00","2,420.00","2,356.00","2,405.35","2,385.00","-20.35","-0.85","5,96,342","141.84","3,264.70","671.50","-10.31","240.03"
"AETHER","912.10","925.00","901.00","917.30","909.50","-7.80","-0.85","41,228","3.75","1,110.00","761.55","13.02","-14.85"
"OFSS","10,478.90","10,500.00","10,320.85","10,425.45","10,336.10","-89.35","-0.86","83,115","86.36","10,529.95","3,737.25","24.02","173.89"
"GRANULES","526.00","528.70","517.00","526.00","521.45","-4.55","-0.87","10,30,872","53.71","530.65","287.70","9.86","68.64"
"ESCORTS","4,141.40","4,171.20","4,024.00","4,130.75","4,095.00","-35.75","-0.87","2,02,631","82.84","4,409.55","2,192.00","3.58","86.67"
"SAREGAMA","547.90","553.20","535.55","547.85","543.05","-4.80","-0.88","2,67,120","14.50","581.40","309.60","-0.95","35.20"
"TATAINVEST","6,560.95","6,633.00","6,500.00","6,559.40","6,501.10","-58.30","-0.89","24,951","16.28","9,756.85","2,280.00","1.82","183.70"
"SUNPHARMA","1,570.60","1,574.80","1,550.95","1,568.40","1,554.25","-14.15","-0.90","11,20,204","174.75","1,638.85","1,028.75","4.08","51.43"
"GRINDWELL","2,884.65","2,886.25","2,808.10","2,856.35","2,830.00","-26.35","-0.92","63,756","18.07","2,960.00","1,875.20","9.37","29.83"
"BSOFT","722.50","724.00","702.00","714.70","708.00","-6.70","-0.94","24,27,072","172.35","861.85","343.60","5.39","101.49"
"VGUARD","479.35","527.55","461.30","476.50","472.00","-4.50","-0.94","16,23,552","79.59","527.55","276.25","21.96","65.77"
"ULTRACEMCO","11,694.00","11,714.80","11,530.00","11,690.15","11,579.00","-111.15","-0.95","1,49,210","172.89","12,078.00","7,987.65","11.73","40.23"
"TTML","76.32","76.80","75.36","76.28","75.55","-0.73","-0.96","17,63,158","13.38","109.10","65.05","2.18","3.92"
"INDIGOPNTS","1,409.45","1,409.45","1,384.10","1,399.90","1,386.50","-13.40","-0.96","30,890","4.30","1,679.95","1,250.00","2.51","-3.35"
"PIDILITIND","3,099.75","3,105.00","3,056.00","3,099.75","3,070.00","-29.75","-0.96","2,03,613","62.57","3,231.00","2,292.55","-0.77","18.63"
"SWSOLAR","692.05","698.90","674.00","690.55","683.90","-6.65","-0.96","11,13,639","76.00","828.00","253.00","-4.32","140.65"
"INDHOTEL","615.00","616.10","604.10","614.50","608.55","-5.95","-0.97","50,74,219","308.37","662.95","371.60","5.02","60.67"
"AIAENG","4,262.35","4,278.90","4,167.70","4,262.35","4,220.95","-41.40","-0.97","41,920","17.59","4,630.00","3,175.00","14.27","32.88"
"UCOBANK","54.88","54.90","53.81","54.54","54.00","-0.54","-0.99","51,10,957","27.66","70.65","27.00","-4.23","89.38"
"BIOCON","371.00","373.85","365.40","370.20","366.50","-3.70","-1.00","50,22,489","185.44","373.85","217.50","10.18","45.78"
"JSL","827.00","835.90","815.55","827.80","819.50","-8.30","-1.00","3,85,933","31.75","845.80","343.55","4.14","127.95"
"JUBLPHARMA","751.40","758.90","736.05","751.40","743.85","-7.55","-1.00","1,07,212","7.99","780.30","318.75","-0.76","94.56"
"KARURVYSYA","203.08","204.50","199.20","202.77","200.72","-2.05","-1.01","14,80,708","29.87","219.90","115.60","1.36","57.25"
"JWL","736.60","745.75","706.05","730.00","722.60","-7.40","-1.01","29,24,588","212.34","748.10","169.35","23.30","314.30"
"VIJAYA","788.00","796.95","771.05","788.00","780.00","-8.00","-1.02","64,246","5.02","880.00","437.25","-2.83","67.71"
"QUESS","632.00","635.05","622.60","631.50","625.05","-6.45","-1.02","3,61,692","22.70","670.40","397.70","7.76","45.42"
"BAJAJ-AUTO","9,640.00","9,666.15","9,470.00","9,635.80","9,537.00","-98.80","-1.03","3,16,215","302.23","10,038.80","4,541.00","-0.92","99.33"
"CHOLAFIN","1,433.05","1,433.05","1,395.00","1,431.60","1,416.50","-15.10","-1.05","5,72,499","80.77","1,476.20","997.25","7.01","21.66"
"SHYAMMETL","725.00","725.00","708.10","720.30","712.70","-7.60","-1.06","6,15,826","44.08","745.30","343.30","15.21","103.82"
"PRINCEPIPE","693.35","700.00","678.00","693.35","686.00","-7.35","-1.06","1,09,115","7.48","776.00","521.35","6.60","7.86"
"APLAPOLLO","1,570.00","1,576.90","1,545.00","1,569.65","1,553.00","-16.65","-1.06","4,14,368","64.51","1,800.00","1,301.00","-3.41","19.12"
"NETWORK18","87.00","88.50","84.28","85.67","84.76","-0.91","-1.06","12,55,106","10.76","135.70","57.15","5.90","33.55"
"FORTIS","464.00","471.70","453.40","461.65","456.70","-4.95","-1.07","16,50,173","76.61","509.85","308.50","-0.89","41.70"
"M&M","2,880.60","2,918.60","2,847.50","2,880.60","2,849.65","-30.95","-1.07","16,31,998","468.98","3,013.50","1,415.75","0.81","84.16"
"JKPAPER","576.15","584.00","562.10","576.15","569.95","-6.20","-1.08","7,95,084","45.49","638.75","306.40","41.96","85.26"
"CHOLAHLDNG","1,458.95","1,476.95","1,430.00","1,457.60","1,441.90","-15.70","-1.08","1,63,785","23.72","1,649.80","885.10","21.68","57.56"
"TRITURBINE","635.00","639.45","621.85","635.00","628.15","-6.85","-1.08","2,78,145","17.52","676.10","312.00","14.49","57.08"
"PNB","122.65","123.39","121.12","122.80","121.47","-1.33","-1.08","2,32,49,946","284.09","142.90","57.55","-1.84","103.31"
"CERA","9,120.00","9,233.95","8,952.00","9,154.70","9,055.00","-99.70","-1.09","14,025","12.77","9,740.00","6,591.20","27.02","20.57"
"SKFINDIA","6,349.00","6,398.75","6,282.00","6,389.85","6,320.00","-69.85","-1.09","32,297","20.41","7,350.00","4,024.50","3.48","24.56"
"SAPPHIRE","1,590.35","1,595.95","1,546.15","1,582.40","1,565.00","-17.40","-1.10","50,276","7.86","1,680.00","1,213.00","6.79","13.84"
"WHIRLPOOL","2,022.35","2,027.00","1,977.85","2,022.35","2,000.00","-22.35","-1.11","1,46,944","29.27","2,199.00","1,186.10","24.77","38.39"
"VBL","1,614.90","1,639.95","1,591.00","1,614.15","1,596.00","-18.15","-1.12","14,59,852","235.57","1,672.00","784.90","6.29","96.57"
"WESTLIFE","858.70","878.40","833.00","853.60","844.00","-9.60","-1.12","2,08,503","17.86","1,024.95","708.95","4.33","-1.45"
"ADANIENT","3,147.90","3,158.20","3,075.00","3,147.90","3,112.00","-35.90","-1.14","11,55,112","358.59","3,743.90","2,142.00","-2.23","32.29"
"POONAWALLA","434.00","436.95","421.00","428.70","423.75","-4.95","-1.15","60,16,488","256.78","519.70","336.30","-7.91","18.51"
"ALOKINDS","28.40","28.64","27.79","28.28","27.95","-0.33","-1.17","98,76,040","27.73","39.05","14.55","8.77","71.91"
"CHEMPLASTS","553.95","553.95","538.20","550.05","543.60","-6.45","-1.17","1,22,716","6.68","633.90","402.80","11.98","23.79"
"JSWSTEEL","955.90","955.90","934.05","954.05","942.85","-11.20","-1.17","15,69,620","147.70","959.40","723.00","4.59","21.01"
"VIPIND","481.75","483.30","475.30","481.75","476.05","-5.70","-1.18","2,52,147","12.04","722.85","428.50","-0.43","-20.55"
"HINDPETRO","332.55","336.20","326.15","332.45","328.50","-3.95","-1.19","99,73,397","329.86","396.53","159.47","-36.54","8.66"
"ASIANPAINT","2,935.90","2,935.90","2,890.70","2,935.90","2,901.00","-34.90","-1.19","8,28,260","240.37","3,568.00","2,670.10","0.28","-12.20"
"SHREECEM","27,510.00","27,549.60","26,951.95","27,528.70","27,200.00","-328.70","-1.19","21,059","57.18","30,737.75","23,026.00","5.56","15.26"
"RAMCOCEM","809.00","811.95","790.50","808.15","798.45","-9.70","-1.20","16,36,310","130.99","1,058.20","700.00","-2.84","-12.77"
"JIOFIN","353.00","353.55","347.20","352.75","348.50","-4.25","-1.20","1,15,25,948","403.72","394.70","202.80","-0.11","-"
"ANURAS","763.95","765.80","751.65","762.75","753.45","-9.30","-1.22","49,797","3.77","1,106.30","720.40","-0.92","-23.18"
"TVSMOTOR","2,445.95","2,445.95","2,381.40","2,430.15","2,400.50","-29.65","-1.22","7,52,377","181.12","2,519.00","1,295.00","0.93","83.82"
